"hotel_id","hbg_code","airport_code"
1507022,"7544","LON"
1507024,"7555","LON"
1507129,"604562","LON"
1509412,"103437","LON"
1509520,"313231","LON"
1509521,"15901","LON"
1509527,"402378","LON"
1509556,"14550","LON"
1509557,"128787","LON"
1509726,"190452","LON"
1509907,"16105","LON"
1510035,"92172","LON"
1510110,"67759","LON"
1510128,"14104","LON"
1513207,"180527","LON"
1513214,"189438","LON"
1513219,"6614","LON"
1513226,"87611","LON"
1513238,"90482","LON"
1513477,"171406","LON"
1515174,"13885","LON"
1515191,"65659","LON"
1515241,"315757","LON"
1515244,"313212","LON"
1515248,"312741","LON"
1515251,"6638","LON"
1515252,"19877","LON"
1515253,"15178","LON"
1515260,"493301","LON"
1515261,"51177","LON"
1515277,"153304","LON"
1515326,"15813","LON"
1515354,"17122","LON"
1515342,"42616","LON"
1518352,"132861","LON"
1518586,"439321","LON"
1518593,"467401","LON"
1518604,"164966","LON"
1518612,"314748","LON"
1518619,"164364","LON"
1518622,"147529","LON"
1518626,"14406","LON"
1518652,"7557","LON"
1518673,"164366","LON"
1518674,"133506","LON"
1518677,"189908","LON"
1518715,"145836","LON"
1518740,"14991","LON"
1518743,"14989","LON"
1518751,"315068","LON"
1518753,"401003","LON"
1518754,"150646","LON"
1518761,"369617","LON"
1518768,"179223","LON"
1518780,"315653","LON"
1518796,"164363","LON"
1518812,"148304","LON"
1518821,"13898","LON"
1518826,"120418","LON"
1518851,"87280","LON"
1518860,"312737","LON"
1518904,"169900","LON"
1518924,"401001","LON"
1518974,"91615","LON"
1518991,"237212","LON"
1519039,"14403","LON"
1519044,"160746","LON"
1519046,"218066","LON"
1519049,"218616","LON"
1519098,"7565","LON"
1519884,"629949","LON"
1524347,"9227","LON"
1524359,"104275","LON"
1524361,"541362","LON"
1524377,"155310","LON"
1524477,"167506","LON"
1524480,"167508","LON"
1524506,"6645","LON"
1524509,"87528","LON"
1524511,"182130","LON"
1524521,"115212","LON"
1524554,"167507","LON"
1524555,"106399","LON"
1524628,"178431","LON"
1524640,"6650","LON"
1524659,"147634","LON"
1524707,"215288","LON"
1524712,"6646","LON"
1524718,"8898","LON"
1524755,"17415","LON"
1524770,"6653","LON"
1524773,"15775","LON"
1524775,"316236","LON"
1524918,"17414","LON"
1525116,"84242","LON"
1525150,"14985","LON"
1525226,"7565","LON"
1525261,"155259","LON"
1525289,"222260","LON"
1525175,"6627","LON"
1525323,"17397","LON"
1525382,"115366","LON"
1525421,"83150","LON"
1525432,"160781","LON"
1525519,"17394","LON"
1525608,"13893","LON"
1525627,"373303","LON"
1525683,"232920","LON"
1525755,"164412","LON"
1525773,"7546","LON"
1525800,"84356","LON"
1525790,"7541","LON"
1528712,"105294","LON"
1528738,"6564","LON"
1528749,"559823","LON"
1528796,"102239","LON"
1528800,"139527","LON"
1528804,"14923","LON"
1528812,"156203","LON"
1528813,"157118","LON"
1528814,"160745","LON"
1528817,"16108","LON"
1528819,"162374","LON"
1528832,"28728","LON"
1528842,"72399","LON"
1528881,"6643","LON"
1529387,"38784","LON"
1529536,"15176","LON"
1531069,"102554","LON"
1531665,"104275","LON"
1532110,"619843","LON"
1532728,"115212","LON"
1532875,"574461","LON"
1532886,"313685","LON"
1533539,"446701","LON"
1533632,"446701","LON"
1534358,"446701","LON"
1536143,"87528","LON"
1537318,"15798","LON"
1538135,"13888","LON"
1538481,"314263","LON"
1538643,"109733","LON"
1538645,"178431","LON"
1538646,"111855","LON"
1538648,"163498","LON"
1539264,"106203","LON"
1540705,"15178","LON"
1540708,"558103","LON"
1540715,"623881","LON"
1540819,"623881","LON"
1540838,"105294","LON"
1540841,"179390","LON"
1540865,"182130","LON"
1540877,"316645","LON"
1541079,"91615","LON"
1541080,"91615","LON"
1541155,"106713","LON"
1541438,"254169","LON"
1541484,"106040","LON"
1541857,"6653","LON"
1543197,"585561","LON"
1543224,"174434","LON"
1543229,"373304","LON"
1543396,"316488","LON"
1543403,"312863","LON"
1543655,"15101","LON"
1544724,"94500","LON"
1544815,"102045","LON"
1544817,"94501","LON"
1544863,"85077","LON"
1544884,"585198","LON"
1544894,"316961","LON"
1544897,"582721","LON"
1544939,"122358","LON"
1544951,"316121","LON"
1544966,"316092","LON"
1545024,"171406","LON"
1545070,"541384","LON"
1545077,"201957","LON"
1545089,"313233","LON"
1545098,"150525","LON"
1545107,"591612","LON"
